player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
David Williamson,1,1,0,53,37,53 (37),53,143.243243243243,0,1,3,2
Kane Pandey,1,1,1,49,46,49* (46),,106.521739130435,0,0,5,1
Priyam Singh,1,1,1,24,24,24* (24),,100,0,0,1,1
Johhny Saha,1,1,0,12,13,12 (13),12,92.3076923076923,0,0,1,0
Bhuvneshwar Kaul,1,0,,0,0,0* (0),,,0,0,0,0
Billy Ahmed,1,0,,0,0,0* (0),,,0,0,0,0
Jason Mohammed,1,0,,0,0,0* (0),,,0,0,0,0
Manish Warner,1,0,,0,0,0* (0),,,0,0,0,0
Rashid Kumar,1,0,,0,0,0* (0),,,0,0,0,0
Sandeep Natarajan,1,0,,0,0,0* (0),,,0,0,0,0
Sanjay Samad,1,0,,0,0,0* (0),,,0,0,0,0
