player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
David Williamson,1,1,1,86,59,86* (59),,145.762711864407,0,1,4,5
Naman Goswami,1,1,0,45,49,45 (49),45,91.8367346938775,0,0,2,1
Virat Shankar,1,1,1,8,10,8* (10),,80,0,0,1,0
Kane Pandey,1,1,0,1,3,1 (3),1,33.3333333333333,0,0,0,0
Basil Raj,1,0,,0,0,0* (0),,,0,0,0,0
Bhuvneshwar Kaul,1,0,,0,0,0* (0),,,0,0,0,0
Billy Ahmed,1,0,,0,0,0* (0),,,0,0,0,0
Jason Mohammed,1,0,,0,0,0* (0),,,0,0,0,0
Johhny Saha,1,0,,0,0,0* (0),,,0,0,0,0
Sandeep Natarajan,1,0,,0,0,0* (0),,,0,0,0,0
Vijay Sharma,1,0,,0,0,0* (0),,,0,0,0,0
