player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Ron Weasley,1,1,1,41,42,41* (42),,97.6190476190476,0,0,3,0
Luna Lovegood,1,1,1,13,27,13* (27),,48.1481481481481,0,0,0,2
Harry Potter,1,1,0,12,17,12 (17),12,70.5882352941177,0,0,1,0
Ginny Weasley,1,1,0,11,18,11 (18),11,61.1111111111111,0,0,1,0
Neville Longbottom,1,1,0,8,9,8 (9),8,88.8888888888889,0,0,1,0
Hermione Granger,1,1,0,2,4,2 (4),2,50,0,0,0,0
Albus Dumbledore,1,1,0,1,3,1 (3),1,33.3333333333333,0,0,0,0
Sirius Black,1,1,0,0,1,0 (1),0,0,0,0,0,0
Fred Weasley,1,0,,0,0,0* (0),,,0,0,0,0
George Weasley,1,0,,0,0,0* (0),,,0,0,0,0
Severus Snape,1,0,,0,0,0* (0),,,0,0,0,0
