player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Sunil Amla,1,1,0,88,49,88 (49),88,179.591836734694,0,1,4,7
ABD Afridi,1,1,1,31,29,31* (29),,106.896551724138,0,0,3,0
Virat Tendulkar,1,1,0,5,5,5 (5),5,100,0,0,1,0
Russell Perera,1,1,1,5,5,5* (5),,100,0,0,1,0
Babar Gayle,1,1,0,3,11,3 (11),3,27.2727272727273,0,0,0,0
Shahid Watson,1,1,0,1,6,1 (6),1,16.6666666666667,0,0,0,0
D'Arcy Hogg,1,0,,0,0,0* (0),,,0,0,0,0
Jasprit Jadeja,1,0,,0,0,0* (0),,,0,0,0,0
Morne Narine,1,0,,0,0,0* (0),,,0,0,0,0
Thisara Bumrah,1,0,,0,0,0* (0),,,0,0,0,0
Tim Starc,1,0,,0,0,0* (0),,,0,0,0,0
