player,games,inning,not_outs,total_runs,balls_faced,bb,ave,strike_rate,hundreds,fifties,fours,sixes
Deorwine Drechslerg,1,1,0,44,37,44 (37),44,118.918918918919,0,0,2,3
Knut Gunvald,1,1,0,30,32,30 (32),30,93.75,0,0,3,0
Feletheus Petrou,1,1,0,10,12,10 (12),10,83.3333333333333,0,0,1,0
Dane Botwrighte,1,1,0,9,20,9 (20),9,45,0,0,1,0
Carim Mourad,1,1,1,2,3,2* (3),,66.6666666666667,0,0,0,0
Dane Fran,1,1,0,1,3,1 (3),1,33.3333333333333,0,0,0,0
Adalard Wessex,1,1,0,0,5,0 (5),0,0,0,0,0,0
Emperor Fulke,1,1,0,0,2,0 (2),0,0,0,0,0,0
Rodaidh O'Connelli,1,1,0,0,4,0 (4),0,0,0,0,0,0
Alderman Gerolt,1,0,,0,0,0* (0),,,0,0,0,0
Kaliq Kazemi,1,1,1,0,2,0* (2),,0,0,0,0,0
